DOI,Title,Published Date
10.1257/000282802320188899,Editors' Introduction,2002
10.1257/000282802320188907,Foreword,2002
10.1257/000282802320188916,Prosperity and Depression,2002
10.1257/000282802320188925,Policy-Driven Productivity in Chile and Mexico in the 1980's and 1990's,2002
10.1257/000282802320188934,Accounting for the Great Depression,2002
10.1257/000282802320188943,The U.S. and U.K. Great Depressions Through the Lens of Neoclassical Growth Theory,2002
10.1257/000282802320188952,A Dual Liquidity Model for Emerging Markets,2002
10.1257/000282802320188961,Bank Bailouts and Aggregate Liquidity,2002
10.1257/000282802320188970,Domestic and International Supply of Liquidity,2002
10.1257/000282802320188989,Balance-Sheet Contagion,2002
10.1257/000282802320188998,Payment Arrangements and Inflation,2002
10.1257/000282802320189005,Money: What's the Question and Why Should We Care About the Answer?,2002
10.1257/000282802320189014,Evil Is the Root of All Money,2002
10.1257/000282802320189023,Matching and Money,2002
10.1257/000282802320189032,Chaotic Interest-Rate Rules,2002
10.1257/000282802320189041,Taylor Rules in a Model that Satisfies the Natural-Rate Hypothesis,2002
10.1257/000282802320189050,The Choice of an Inflation Target Range in a Small Open Economy,2002
10.1257/000282802320189069,The Fed and Interest Rates—A High-Frequency Identification,2002
10.1257/000282802320189078,The Natural Rate of <i>Q</i>,2002
10.1257/000282802320189087,"Inflation-Targeting, Exchange-Rate Pass-Through, and Volatility",2002
10.1257/000282802320189096,The Fed and the New Economy,2002
10.1257/000282802320189104,Monetary-Policy Rules and the Great Inflation,2002
10.1257/000282802320189113,A Rehabilitation of Monetary Policy in the 1950's,2002
10.1257/000282802320189122,"Monetary Policy, Banking Crises, and the Friedman Rule",2002
10.1257/000282802320189131,Excess Asset Returns with Limited Enforcement,2002
10.1257/000282802320189140,"Self-Insurance, Social Insurance, and the Optimum Quantity of Money",2002
10.1257/000282802320189159,The U.S. Technology Frontier,2002
10.1257/000282802320189168,The U.S. Demographic Transition,2002
10.1257/000282802320189177,The Role of Agriculture in Development,2002
10.1257/000282802320189186,Interpreting the Tariff–Growth Correlation of the Late 19th Century,2002
10.1257/000282802320189195,The Mystery of the Excess Trade (Balances),2002
10.1257/000282802320189203,Cost of Protection: Where Do We Stand?,2002
10.1257/000282802320189212,Trade and Poverty in the Poor Countries,2002
10.1257/000282802320189221,Firm and Product Life Cycles and Firm Survival,2002
10.1257/000282802320189230,The Decline of Cities and Inequality,2002
10.1257/000282802320189249,The <i>Q</i>-Theory of Mergers,2002
10.1257/000282802320189258,The Economics of Copyright “Fair Use” in a Networked World,2002
10.1257/000282802320189267,The Case Against Intellectual Property,2002
10.1257/000282802320189276,When Should We Use Intellectual Property Rights?,2002
10.1257/000282802320189285,On the Supply of Creative Work: Evidence from the Movies,2002
10.1257/000282802320189294,150 Years of Patent Protection,2002
10.1257/000282802320189302,Accounting for Innovation and Measuring Innovativeness: An Illustrative Framework and an Application,2002
10.1257/000282802320189311,"Technological Change, Entry, and Stock-Market Dynamics: An Analysis of Transition in a Monopolistic Industry",2002
10.1257/000282802320189320,The Internet and International Trade in Services,2002
10.1257/000282802320189339,Explaining Diversity: Symmetry-Breaking in Complementarity Games,2002
10.1257/000282802320189348,Spatial Agglomeration Dynamics,2002
10.1257/000282802320189357,Is Equality Stable?,2002
10.1257/000282802320189366,"Inheritances and Wealth Inequality, 1989–1998",2002
10.1257/000282802320189375,Simulating the Transmission of Wealth Inequality,2002
10.1257/000282802320189384,Wealth Inequality and Altruistic Bequests,2002
10.1257/000282802320189393,The Importance of Bequests and Life-Cycle Saving in Capital Accumulation: A New Answer,2002
10.1257/000282802320189401,The Behavioral and Distributional Implications of Aid for College,2002
10.1257/000282802320189410,Semiparametric Reduced-Form Estimation of Tuition Subsidies,2002
10.1257/000282802320189429,"Financial Aid, Borrowing Constraints, and College Attendance: Evidence from Structural Estimates",2002
10.1257/000282802320189438,A Multinomial-Choice Model of Neighborhood Effects,2002
10.1257/000282802320189447,Identifying Hedonic Models,2002
10.1257/000282802320189456,On the Demographic Composition of Colleges and Universities in Market Equilibrium,2002
10.1257/000282802320189465,Asymmetric Information in Community Banking and Its Relationship to Credit-Market Discrimination,2002
10.1257/000282802320189474,A Dream Deferred or Realized: The Impact of Public Policy on Fostering Black Homeownership in New York City Throughout the 1990's,2002
10.1257/000282802320189483,Cooperatives and Wealth Accumulation: Preliminary Analysis,2002
10.1257/000282802320191552,"Wealth: Asset-Accumulation Differences by Race—SCF Data, 1995 and 1998",2002
10.1257/000282802320191561,A Foundation for Behavioral Economics,2002
10.1257/000282802320191570,IQ and Income Inequality in a Sample of Sibling Pairs from Advantaged Family Backgrounds,2002
10.1257/000282802320191589,The Nature and Nurture of Economic Outcomes,2002
10.1257/000282802320191598,Wage Gains Associated with Height as a Form of Health Human Capital,2002
10.1257/000282802320191606,The Motherhood Wage Penalty: Which Mothers Pay It and Why?,2002
10.1257/000282802320191615,Children and Household Income Packages: A Cross-National Analysis,2002
10.1257/000282802320191624,Child Abuse and Abortion Availability,2002
10.1257/000282802320191633,All in the Family: A Simultaneous Model of Parenting Style and Child Conduct,2002
10.1257/000282802320191642,"Labor Supply at the Extensive and Intensive Margins: The EITC, Welfare, and Hours Worked",2002
10.1257/000282802320191651,"Welfare, Employment, and Income: Evidence on the Effects of Benefit Reductions from California",2002
10.1257/000282802320191660,The Behavioral Effects of Welfare Time Limits,2002
10.1257/000282802320191679,The Wage Gap and Public Support for Social Security,2002
10.1257/000282802320191688,Pension Reforms and the Opinions of European Citizens,2002
10.1257/000282802320191697,Asset-Market Effects of the Baby Boom and Social-Security Reform,2002
10.1257/000282802320191705,Intergenerational Risk-Sharing via Social Security when Financial Markets Are Incomplete,2002
10.1257/000282802320191714,Taxation of Financial Services under a VAT,2002
10.1257/000282802320191723,Capital-Income Taxation with Imperfect Competition,2002
10.1257/000282802320191732,Exchange-Traded Funds: A New Investment Option for Taxable Investors,2002
10.1257/000282802320191741,Modern Evidence on the Firm,2002
10.1257/000282802320191750,"Complexity, Flexibility, and the Make-or-Buy Decision",2002
10.1257/000282802320191769,The Lens of Contract: Private Ordering,2002
10.1257/000282802320191778,Can Web Courses Replace the Classroom in Principles of Microeconomics?,2002
10.1257/000282802320191787,Microeconomic Principles Teaching Tricks,2002
10.1257/000282802320191796,Reconsidering Crucial Concepts in Micro Principles,2002
10.1257/000282802320191804,The Economic Naturalist: Teaching Introductory Students How to Speak Economics,2002
10.1257/000282802320191813,Use It or Lose It: Teaching Literacy in the Economics Principles Course,2002
10.1257/000282802320191822,Promoting Economic Literacy: Panel Discussion,2002
10.1257/000282802320191831,Matthew Rabin,2002
10.1257/000282802320191840,"Minutes of the Annual Meeting Atlanta, GA January 5, 2002",2002
10.1257/000282802320191859,Minutes of the Executive Committee Meetings,2002
10.1257/000282802320191868,Report of the Secretary for 2001,2002
10.1257/000282802320191877,"Report of the Treasurer for the Year Ending December 31, 2001",2002
10.1257/000282802320191886,Report of the Finance Committee,2002
10.1257/000282802320191895,Report of the Editor,2002
10.1257/000282802320191903,Report of the Editor: Journal of Economic Literature,2002
10.1257/000282802320191912,Report of the Editor: Journal of Economic Perspectives,2002
10.1257/000282802320191921,Report of the Director: Job Openings for Economists,2002
10.1257/000282802320191930,Report of the Committee on Economic Education,2002
10.1257/000282802320191949,Report of the Committee on the Status of Women in the Economics Profession,2002
10.1257/000282802320191958,Report of the AEA Exploratory Committee on Economic Statistics,2002
10.1257/000282802320191967,Report of the Search Committee for the Editor of the <i>JEP</i>,2002
10.1257/000282802320191976,Universal Academic Questionnaire Summary Statistics,2002
10.1257/00028280260136192,Behavioral Macroeconomics and Macroeconomic Behavior,2002
10.1257/00028280260136200,Signaling in Retrospect and the Informational Structure of Markets,2002
10.1257/00028280260136246,An Experimental Test of an Optimal Growth Model,2002
10.1257/00028280260136255,"Fiscal Policy, Profits, and Investment",2002
10.1257/00028280260136264,Tax Reform and Automatic Stabilization,2002
10.1257/00028280260136309,"Troubled Banks, Impaired Foreign Direct Investment: The Role of Relative Access to Credit",2002
10.1257/00028280260136318,Litigation Costs and Returns to Experience,2002
10.1257/00028280260136327,The Household Bankruptcy Decision,2002
10.1257/00028280260136363,Information and the Change in the Paradigm in Economics,2002
10.1257/00028280260136372,What Explains the Industrial Revolution in East Asia? Evidence From the Factor Markets,2002
10.1257/00028280260136381,"Technological Change, Technological Catch-up, and Capital Deepening: Relative Contributions to Growth and Convergence",2002
10.1257/00028280260136426,Can Expected Utility Theory Explain Gambling?,2002
10.1257/00028280260136435,Efficiency in Auctions with Private and Common Values: An Experimental Study,2002
10.1257/00028280260136444,Reputation and Competition,2002
10.1257/00028280260136480,Independent Auditors' Report,2002
10.1257/00028280260344443,Inequality Among World Citizens: 1820–1992,2002
10.1257/00028280260344452,The Returns to Entrepreneurial Investment: A Private Equity Premium Puzzle?,2002
10.1257/00028280260344461,Managing Dynamic Competition,2002
10.1257/00028280260344470,"Rigidity, Discretion, and the Costs of Writing Contracts",2002
10.1257/00028280260344489,Contractual Structure and Wealth Accumulation,2002
10.1257/00028280260344498,"Monitoring, Motivation, and Management: The Determinants of Opportunistic Behavior in a Field Experiment",2002
10.1257/00028280260344506,Rating Banks: Risk and Uncertainty in an Opaque Industry,2002
10.1257/00028280260344515,How Regional Blocs Affect Excluded Countries: The Price Effects of MERCOSUR,2002
10.1257/00028280260344524,"Testing Intertemporal Substitution, Implicit Contracts, and Hours Restriction Models of the Labor Market Using Micro Data",2002
10.1257/00028280260344533,Targeting Nominal Income Growth or Inflation?,2002
10.1257/00028280260344542,Did the Elimination of Mandatory Retirement Affect Faculty Retirement?,2002
10.1257/00028280260344551,Geography of the Family,2002
10.1257/00028280260344560,Longer-Term Effects of Head Start,2002
10.1257/00028280260344579,Dynamic Inconsistencies: Counterfactual Implications of a Class of Rational-Expectations Models,2002
10.1257/00028280260344588,Terror as a Bargaining Instrument: A Case Study of Dowry Violence in Rural India,2002
10.1257/00028280260344597,Antidumping Investigations and the Pass-Through of Antidumping Duties and Exchange Rates,2002
10.1257/00028280260344605,Revisiting Kindness and Confusion in Public Goods Experiments,2002
10.1257/00028280260344614,Implementing the Efficient Allocation of Pollution,2002
10.1257/00028280260344623,The Gains From Self-Ownership and the Expansion of Women's Rights,2002
10.1257/00028280260344632,Last-Minute Bidding and the Rules for Ending Second-Price Auctions: Evidence from eBay and Amazon Auctions on the Internet,2002
10.1257/00028280260344641,The Risk Premium for Equity: Implications for the Proposed Diversification of the Social Security Fund,2002
10.1257/00028280260344650,A New Measure of Horizontal Equity,2002
10.1257/00028280260344669,Do Corrupt Governments Receive Less Foreign Aid?,2002
10.1257/00028280260344678,Testing Mixed-Strategy Equilibria When Players Are Heterogeneous: The Case of Penalty Kicks in Soccer,2002
