DOI,Title,Published Date
10.1111/1468-0262.00091,The Econometrics of Ultra-high-frequency Data,2000
10.1111/1468-0262.00092,A Three-step Method for Choosing the Number of Bootstrap Repetitions,2000
10.1111/1468-0262.00093,Latent Separability: Grouping Goods without Weak Separability,2000
10.1111/1468-0262.00094,Bargaining and Reputation,2000
10.1111/1468-0262.00095,Optimal Contracts when Enforcement is a Decision Variable,2000
10.1111/1468-0262.00096,Information Acquisition in Auctions,2000
10.1111/1468-0262.00097,A Divisible Search Model of Fiat Money: A Comment,2000
10.1111/1468-0262.00103,Econometrica Referees,2000
10.1111/1468-0262.00105,Submission of Manuscripts to the Econometric Society Monograph Series,2000
10.1111/1468-0262.00109,Inflation and Welfare,2000
10.1111/1468-0262.00110,"Mortgage Terminations, Heterogeneity and the Exercise of Mortgage Options",2000
10.1111/1468-0262.00111,Mechanism Design with Collusion and Correlation,2000
10.1111/1468-0262.00112,Assortative Matching and Search,2000
10.1111/1468-0262.00113,Pathological Outcomes of Observational Learning,2000
10.1111/1468-0262.00114,Inconsistency of the Bootstrap when a Parameter is on the Boundary of the Parameter Space,2000
10.1111/1468-0262.00115,Consistency of Kernel Estimators of Heteroscedastic and Autocorrelated Covariance Matrices,2000
10.1111/1468-0262.00116,Temporal Resolution of Uncertainty and Recursive Non-expected Utility Models,2000
10.1111/1468-0262.00117,Do Sunspots Matter when Spot Market Equilibria are Unique?,2000
10.1111/1468-0262.00122,Submission of Manuscripts to Econometrica,2000
10.1111/1468-0262.00123,Optimal Nonparametric Estimation of First-price Auctions,2000
10.1111/1468-0262.00124,Sample Splitting and Threshold Estimation,2000
10.1111/1468-0262.00125,Reinforcement-based vs. Belief-based Learning Models in Experimental Asymmetric-information Games,2000
10.1111/1468-0262.00126,Priority Rules and Other Asymmetric Rationing Methods,2000
10.1111/1468-0262.00127,Sharing Beliefs: Between Agreeing and Disagreeing,2000
10.1111/1468-0262.00128,Simple Robust Testing of Regression Hypotheses,2000
10.1111/1468-0262.00129,Robust Wald Tests in Sur Systems with Adding-up Restrictions,2000
10.1111/1468-0262.00136,Submission of Manuscripts to Econometrica,2000
10.1111/1468-0262.00137,"Efficiency, Equilibrium, and Asset Pricing with Risk of Default",2000
10.1111/1468-0262.00138,Competing Mechanisms in a Common Value Environment,2000
10.1111/1468-0262.00139,Panel Data Discrete Choice Models with Lagged Dependent Variables,2000
10.1111/1468-0262.00140,A Theory of the Firm with Non-binding Employment Contracts,2000
10.1111/1468-0262.00141,The Monotonicity of Individual and Market Demand,2000
10.1111/1468-0262.00142,Edgeworth Expansions for Semiparametric Averaged Derivatives,2000
10.1111/1468-0262.00143,Self-Selective Social Choice Functions Verify Arrow and Gibbard-Satterthwaite Theorems,2000
10.1111/1468-0262.00144,Monotone Instrumental Variables: With an Application to the Returns to Schooling,2000
10.1111/1468-0262.00149,Submission of Manuscripts to the Econometric Society Monograph Series,2000
10.1111/1468-0262.00150,Capital-skill Complementarity and Inequality: A Macroeconomic Analysis,2000
10.1111/1468-0262.00151,GMM with Weak Identification,2000
10.1111/1468-0262.00152,A Reality Check for Data Snooping,2000
10.1111/1468-0262.00153,A Simple Adaptive Procedure Leading to Correlated Equilibrium,2000
10.1111/1468-0262.00154,Sticky Price Models of the Business Cycle: Can the Contract Multiplier Solve the Persistence Problem?,2000
10.1111/1468-0262.00155,A Noncooperative Model of Network Formation,2000
10.1111/1468-0262.00156,Genericity and Markovian Behavior in Stochastic Games,2000
10.1111/1468-0262.00157,Nonstationary Binary Choice,2000
10.1111/1468-0262.00158,Risk Aversion and Expected-utility Theory: A Calibration Theorem,2000
10.1111/1468-0262.00159,Correction,2000
10.1111/1468-0262.00163,Do Markets Favor Agents able to Make Accurate Predictions?,2000
10.1111/1468-0262.00164,Transform Analysis and Asset Pricing for Affine Jump-diffusions,2000
10.1111/1468-0262.00165,Accuracy of Numerical Solutions Using the Euler Equation Residuals,2000
10.1111/1468-0262.00166,Strategyproof Assignment by Hierarchical Exchange,2000
10.1111/1468-0262.00167,Statistical Inference for Stochastic Dominance and for the Measurement of Poverty and Inequality,2000
10.1111/1468-0262.00168,Nonparametric Test for Causality with Long-range Dependence,2000
10.1111/1468-0262.00169,Multiperson Bargaining and Strategic Complexity,2000
10.1111/1468-0262.00170,Incomplete Learning from Endogenous Data in Dynamic Allocation,2000
10.1111/1468-0262.00171,Covariance Matrix Estimation and the Power of the Overidentifying Restrictions Test,2000
