DOI,Title,Published Date
10.1016/j.bbagen.2004.06.009,Formulation of a microparticle carrier for oral polyplex-based DNA vaccines,2004
10.1016/j.jfineco.2002.03.001,Estimating the market risk premium,2004
10.1016/j.jfineco.2002.05.001,Performance fee contract change and mutual fund risk,2004
10.1016/j.jfineco.2002.06.001,On the relationship between the conditional mean and volatility of stock returns: A latent VAR approach,2004
10.1016/j.jfineco.2002.10.001,The value of tax shields is NOT equal to the present value of tax shields,2004
10.1016/j.jfineco.2002.10.002,The effects of government ownership on bank lending,2004
10.1016/j.jfineco.2002.11.001,A revealed preference approach to understanding corporate governance problems: Evidence from Canada,2004
10.1016/j.jfineco.2002.11.002,Predicting returns with financial ratios,2004
10.1016/j.jfineco.2003.02.001,The importance of the loss function in option valuation,2004
10.1016/j.jfineco.2003.04.001,New lists: Fundamentals and survival rates,2004
10.1016/j.jfineco.2003.04.002,The timing of initial public offerings,2005
10.1016/j.jfineco.2003.05.001,Smart investments by smart money: Evidence from seasoned equity offerings,2004
10.1016/j.jfineco.2003.05.002,A theory of corporate spin-offs,2004
10.1016/j.jfineco.2003.05.003,Data-generating process uncertainty: What difference does it make in portfolio decisions?,2004
10.1016/j.jfineco.2003.05.004,Gains in bank mergers: Evidence from the bond markets,2004
10.1016/j.jfineco.2003.05.005,Does an electronic stock exchange need an upstairs market?,2004
10.1016/j.jfineco.2003.05.006,Common market makers and commonality in liquidity,2004
10.1016/j.jfineco.2003.05.007,Why constrain your mutual fund manager?,2004
10.1016/j.jfineco.2003.05.008,Limited arbitrage and short sales restrictions: evidence from the options markets,2004
10.1016/j.jfineco.2003.05.009,Institutional trading and the turn-of-the-year effect,2004
10.1016/j.jfineco.2003.06.001,The effect of capital market characteristics on the value of start-up firms,2004
10.1016/j.jfineco.2003.06.002,CEO compensation and incentives: Evidence from M&amp;A bonuses,2004
10.1016/j.jfineco.2003.06.003,Leverage decision and manager compensation with choice of effort and volatility,2004
10.1016/j.jfineco.2003.07.001,The costs of shared ownership: Evidence from international joint ventures,2004
10.1016/j.jfineco.2003.07.002,Firm size and the gains from acquisitions,2004
10.1016/j.jfineco.2003.07.003,The effect of capital structure when expected agency costs are extreme,2004
10.1016/j.jfineco.2003.07.004,Banking market structure and financial stability: Evidence from the Texas real estate crisis in the 1980s,2004
10.1016/j.jfineco.2003.08.001,Appearing and disappearing dividends: The link to catering incentives,2004
10.1016/j.jfineco.2003.08.002,Managerial succession and firm performance,2004
10.1016/j.jfineco.2003.08.003,The choice of equity-selling mechanisms,2004
10.1016/j.jfineco.2003.08.004,Earnings management and the market performance of acquiring firms,2004
10.1016/j.jfineco.2003.09.001,The value of dividend imputation tax credits in Australia,2004
10.1016/j.jfineco.2003.09.002,The timing and terms of mergers motivated by economies of scale,2004
10.1016/j.jfineco.2003.09.003,"Grandstanding, certification and the underpricing of venture capital backed IPOs",2004
10.1016/j.jfineco.2003.09.004,Measuring stock illiquidity: An investigation of the demand and supply schedules at the TASE,2004
10.1016/j.jfineco.2003.09.005,Disentangling diffusion from jumps,2004
10.1016/j.jfineco.2003.10.001,Cross-country determinants of mergers and acquisitions,2004
10.1016/j.jfineco.2003.10.002,"Sources of gains in horizontal mergers: evidence from customer, supplier, and rival firms",2004
10.1016/j.jfineco.2003.10.003,Style effects in the cross-section of stock returns,2004
10.1016/j.jfineco.2003.10.004,Testing market efficiency using statistical arbitrage with applications to momentum and value strategies,2004
10.1016/j.jfineco.2003.11.001,Do security analysts exhibit persistent differences in stock picking ability?,2004
10.1016/j.jfineco.2003.11.002,"Who is in whose pocket? Director compensation, board independence, and barriers to effective monitoring",2004
10.1016/j.jfineco.2003.11.003,News spillovers in the sovereign debt market,2005
10.1016/j.jfineco.2003.12.001,Corporate earnings and the equity premium,2004
10.1016/j.jfineco.2003.12.002,Asset prices and real investment,2004
10.1016/j.jfineco.2004.01.001,"Industry structure and horizontal takeovers: Analysis of wealth effects on rivals, suppliers, and corporate customers",2005
10.1016/j.jfineco.2004.01.002,Information content of equity analyst reports,2005
10.1016/j.jfineco.2004.01.003,"Integration, organizational processes, and allocation of resources",2005
10.1016/j.jfineco.2004.01.004,Professional trader discipline and trade disposition,2005
10.1016/j.jfineco.2004.01.005,Liquidity of emerging markets,2005
10.1016/j.jfineco.2004.01.006,Asymmetric benchmarking in compensation: Executives are rewarded for good luck but not penalized for bad,2006
10.1016/j.jfineco.2004.02.001,Can foreign firms bond themselves effectively by renting U.S. securities laws?,2005
10.1016/j.jfineco.2004.02.002,"Pricing, exit, and location decisions of firms: Evidence on the role of debt and operating efficiency",2005
10.1016/j.jfineco.2004.02.003,The many facets of privately negotiated stock repurchases,2005
