DOI,Title,Published Date
10.1046/j.1540-6261.2003.00606.x,The Dynamics of Institutional and Individual Trading,2003
10.1046/j.1540-6261.2003.00607.x,Equity Volatility and Corporate Bond Yields,2003
10.1046/j.1540-6261.2003.00608.x,Institutional Investors and Executive Compensation,2003
10.1046/j.1540-6261.2003.00609.x,Intraday Price Formation in U.S. Equity Index Markets,2003
10.1046/j.1540-6261.2003.00610.x,"Financial Development, Property Rights, and Growth",2003
10.1046/j.1540-6261.2003.00611.x,The Behavior of Bid‐Ask Spreads and Volume in Options Markets during the Competition for Listings in 1999,2003
10.1046/j.1540-6261.2003.00612.x,Model Misspecification and Underdiversification,2003
10.1046/j.1540-6261.2003.00613.x,"Regulation Fair Disclosure and Earnings Information: Market, Analyst, and Corporate Responses",2003
10.1046/j.1540-6261.2003.00614.x,Momentum Investing and Business Cycle Risk: Evidence from Pole to Pole,2003
10.1046/j.1540-6261.2003.00615.x,Equilibrium “Anomalies”,2003
10.1046/j.1540-6261.2003.00616.x,What Type of Process Underlies Options? A Simple Robust Test,2003
10.1046/j.1540-6261.2003.00617.x,Do Price Discreteness and Transactions Costs Affect Stock Returns? Comparing Ex‐Dividend Pricing before and after Decimalization,2003
10.1046/j.1540-6261.2003.00618.x,Competition among Trading Venues: Information and Trading on Electronic Communications Networks,2003
10.1046/j.1540-6261.2003.00619.x,Capital Structure and Financial Risk: Evidence from Foreign Debt Use in East Asia,2003
10.1046/j.1540-6261.2003.00620.x,Divestitures and Divisional Investment Policies,2003
10.1046/j.1540-6261.2003.00621.x,Is the International Convergence of Capital Adequacy Regulation Desirable?,2003
10.1046/j.1540-6261.2003.00622.x,Shareholder Taxes in Acquisition Premiums: The Effect of Capital Gains Taxation,2003
10.1046/j.1540-6261.2003.00623.x,MISCELLANEA,2003
10.1046/j.1540-6261.2003.00624.x,Index to Volume LVIII,2003
10.1111/0022-1082.00059-i1,Report of the Representative to the National Bureau of Economic Research,2000
10.1111/0022-1082.00061-i1,Minutes of the Annual Membership Meeting,2002
10.1111/0022-1082.00198,SMITH BREEDEN AND BRATTLE GROUP PRIZES FOR 1999,2000
10.1111/0022-1082.00199,Agency Problems and Dividend Policies around the World,2000
10.1111/0022-1082.00200,The Cost of Diversity: The Diversification Discount and Inefficient Investment,2000
10.1111/0022-1082.00201,Agency Costs and Ownership Structure,2000
10.1111/0022-1082.00202,"Financing Policy, Basis Risk, and Corporate Hedging: Evidence from Oil and Gas Producers",2000
10.1111/0022-1082.00203,The Exploitation of Relationships in Financial Distress: The Case of Trade Credit,2000
10.1111/0022-1082.00204,Portfolio Selection and Asset Pricing Models,2000
10.1111/0022-1082.00205,Investing for the Long Run when Returns Are Predictable,2000
10.1111/0022-1082.00206,"Bad News Travels Slowly: Size, Analyst Coverage, and the Profitability of Momentum Strategies",2000
10.1111/0022-1082.00207,Trading and Returns under Periodic Market Closures,2000
10.1111/0022-1082.00208,Is the Short Rate Drift Actually Nonlinear?,2000
10.1111/0022-1082.00209,"Characteristics, Covariances, and Average Returns: 1929 to 1997",2000
10.1111/0022-1082.00210,Sorting Out Sorts,2000
10.1111/0022-1082.00211,"Stock Splits, Tick Size, and Sponsorship",2000
10.1111/0022-1082.00212,"Effectiveness of Capital Regulation at U.S. Commercial Banks, 1985 to 1994",2000
10.1111/0022-1082.00213,Liquidity and Liquidation: Evidence from Real Estate Investment Trusts,2000
10.1111/0022-1082.00214,The Effect of Options on Stock Prices: 1973 to 1995,2000
10.1111/0022-1082.00219,"Stock Market Liberalization, Economic Reform, and Emerging Market Equity Prices",2000
10.1111/0022-1082.00220,Foreign Speculators and Emerging Equity Markets,2000
10.1111/0022-1082.00221,Going Public without Governance: Managerial Reputation Effects,2000
10.1111/0022-1082.00222,Agency Conflicts in Public and Negotiated Transfers of Corporate Control,2000
10.1111/0022-1082.00223,Can Relationship Banking Survive Competition?,2000
10.1111/0022-1082.00224,Some Evidence on the Uniqueness of Initial Public Debt Offerings,2000
10.1111/0022-1082.00225,Mean Reversion across National Stock Markets and Parametric Contrarian Investment Strategies,2000
10.1111/0022-1082.00226,Trading Is Hazardous to Your Wealth: The Common Stock Investment Performance of Individual Investors,2000
10.1111/0022-1082.00227,How Does Information Quality Affect Stock Returns?,2000
10.1111/0022-1082.00228,"Option Prices, Implied Price Processes, and Stochastic Volatility",2000
10.1111/0022-1082.00229,Is Group Affiliation Profitable in Emerging Markets? An Analysis of Diversified Indian Business Groups,2000
10.1111/0022-1082.00230,Demand Curves for Stocks <i>Do</i> Slope Down: New Evidence from an Index Weights Adjustment,2000
10.1111/0022-1082.00231,Trading Volume and Cross‐Autocorrelations in Stock Returns,2000
