DOI,Title,Published Date
10.1086/262109,Financial Contagion,2000
10.1086/262110,Sequential Voting Procedures in Symmetric Binary Elections,2000
10.1086/262111,Testing for Asymmetric Information in Insurance Markets,2000
10.1086/262112,Beyond Arbitrage: Good‐Deal Asset Price Bounds in Incomplete Markets,2000
10.1086/262113,Reform without Losers: An Interpretation of China's Dual‐Track Approach to Transition,2000
10.1086/262114,"Gain, Loss, and Asset Pricing",2000
10.1086/262115,Valuing Research leads: Bioprospecting and the Conservation of Genetic Resources,2000
10.1086/262116,"Book Review<i>Population Dynamics: A New Economic Approach</i>. By C. Y. Cyrus  Chu. New York: Oxford University Press, 1998. Pp. 226+xiv;$60.00.",2000
10.1086/262117,On the State of the Union,2000
10.1086/262118,Putting Auction Theory to Work: The Simultaneous Ascending Auction,2000
10.1086/262119,Do Incentives Matter? Managerial Contracts for Dual‐Purpose Funds,2000
10.1086/262120,Sustaining Fiscal Policy through Immigration,2000
10.1086/262121,"Equity, Bonds, and Bank Debt: Capital Structure and Financial Market Equilibrium under Asymmetric Information",2000
10.1086/262122,What Happens When You Tax the Rich? Evidence from Executive Compensation,2000
10.1086/262123,Effects of Air Quality Regulations on Polluting Industries,2000
10.1086/262124,Redistribution in a Decentralized Economy: Growth and Inflation in China under Reform,2000
10.1086/262125,What Did Smith Mean by the Invisible Hand?,2000
10.1086/262126,Prices Rise Faster than They Fall,2000
10.1086/262127,Estimating Preferences under Risk: The Case of Racetrack Bettors,2000
10.1086/262128,The Dynamics of Political Compromise,2000
10.1086/262129,Let's Agree That All Dictatorships Are Equally Bad,2000
10.1086/262130,A Market Test for Discrimination in the English Professional Soccer Leagues,2000
10.1086/262131,Does Entrepreneurship Pay? An Empirical Analysis of the Returns to Self‐Employment,2000
10.1086/262132,Intellectual Collaboration,2000
10.1086/316096,Balladurette and Juppette: A Discrete Analysis of Scrapping                         Subsidies,2000
10.1086/316097,Is Child Labor Inefficient?,2000
10.1086/316098,In Sickness and in Health: Risk Sharing within Households in Rural Ethiopia,2000
10.1086/316099,Age and the Quality of Work: The Case of Modern American Painters,2000
10.1086/316100,The Making of an Oligopoly: Firm Survival and Technological Change in the Evolution of the U.S. Tire Industry,2000
10.1086/316101,Earnings within Education Groups and Overall Productivity Growth,2000
10.1086/316102,Homework in Development Economics: Household Production and the Wealth of Nations,2000
10.1086/316103,Equilibrium Price Dispersion in Retail Markets for Prescription Drugs,2000
10.1086/316104,Journal of Political Economy,2000
10.1086/316105,Optimal Size of Government,2000
10.1086/317668,Luxuries Are Easier to Postpone: A Proof,2000
10.1086/317669,Federal Mandates by Popular Demand,2000
10.1086/317670,Measurement Error and the Relationship between Investment and<i>q</i>,2000
10.1086/317671,Hierarchies and the Organization of Knowledge in Production,2000
10.1086/317672,"Are Invisible Hands Good Hands? Moral Hazard, Competition, and the Second‐Best in Health Care Markets",2000
10.1086/317673,Putty‐Clay and Investment: A Business Cycle Analysis,2000
10.1086/317674,An Alternative Approach to Search Frictions,2000
10.1086/317675,"Risk Sharing, Sorting, and Early Contracting",2000
10.1086/317676,Extensive Margins and the Demand for Money at Low Interest Rates,2000
10.1086/317677,Estimating a Bargaining Model with Asymmetric Information: Evidence from Medical Malpractice Disputes,2000
10.1086/317678,Journal of Political Economy,2000
10.1086/317679,Muhammad on Price Controls,2000
10.1086/317680,Redistributing Income under Proportional Representation,2000
10.1086/317681,Sulfur Dioxide Control by Electric Utilities: What Are the Gains from Trade?,2000
10.1086/317682,Disability Insurance Benefits and Labor Supply,2000
10.1086/317683,Parental Benefits from Intergenerational Coresidence: Empirical Evidence from Rural Pakistan,2000
10.1086/317684,"A Ricardian Model with a Continuum of Goods under Nonhomothetic Preferences: Demand Complementarities, Income Distribution, and North‐South Trade",2000
10.1086/317685,Charity and the Bequest Motive: Evidence from Seventeenth‐Century Wills,2000
10.1086/317686,Comparative Politics and Public Finance,2000
10.1086/317687,A Model of Bimetallism,2000
10.1086/317688,The Marriage Squeeze Interpretation of Dowry Inflation: A Comment,2000
10.1086/317689,The Marriage Squeeze Interpretation of Dowry Inflation: Response,2000
10.1086/317690,Journal of Political Economy,2000
10.1086/317691,Cobb and Douglas Visit the South of France,2000
10.1086/318599,The Identification of Unobservable Independent and Spousal Leisure,2001
10.1086/318600,"Inequality, Control Rights, and Rent Seeking: Sugar Cooperatives in Maharashtra",2001
10.1086/318601,Endogenous Enfranchisement When Groups’ Preferences Conflict,2001
10.1086/318602,Public versus Private Initiative in Arctic Exploration: The Effects of Incentives and Organizational Structure,2001
10.1086/318603,Racial Bias in Motor Vehicle Searches: Theory and Evidence,2001
10.1086/318604,"On the Distribution of Income and Worker Assignment under Intrafirm Spillovers, with an Application to Ideas and Networks",2001
10.1086/318605,How Much Did the Liberty Shipbuilders Learn? New Evidence for an Old Case Study,2001
10.1086/318606,Journal of Political Economy,2001
10.1086/318607,Keynes on Taxation,2001
10.1086/319550,Competitive Fair Division,2001
10.1086/319551,Shareholder Wealth and Wages: Evidence for White‐Collar Workers,2001
10.1086/319552,"Liquidity Risk, Liquidity Creation, and Financial Fragility: A Theory of Banking",2001
10.1086/319553,Any Non‐welfarist Method of Policy Assessment Violates the Pareto Principle,2001
10.1086/319554,Political Correctness,2001
10.1086/319555,Intercountry Differences in the Relationship between Relative Price                     Variability and Average Prices,2001
10.1086/319556,An Incentive Model of the Effect of Parental Income on Children,2001
10.1086/319557,Testing for Evidence of Adverse Selection in the Automobile Insurance Market: A Comment,2001
10.1086/319558,Information and Competition in U.S. Forest Service Timber Auctions,2001
10.1086/319559,Journal of Political Economy,2001
10.1086/319560,Impatience and Precommitment,2001
10.1086/321014,"The Dynamics of Educational Attainment for Black, Hispanic, and White                         Males",2001
10.1086/321015,The U.S. Structural Transformation and Regional Convergence: A Reinterpretation,2001
10.1086/321016,The Effect of Welfare Payments on the Marriage and Fertility Behavior of Unwed Mothers: Results from a Twins Experiment,2001
10.1086/321017,On Strategic Community Development,2001
10.1086/321018,A Theory of Conservatism,2001
10.1086/321019,Group Loyalty and the Taste for Redistribution,2001
10.1086/321020,"Social Approval, Values, and AFDC: A Reexamination of the Illegitimacy Debate",2001
10.1086/321021,An Empirical Investigation of the Strategic Use of Debt,2001
10.1086/321022,Journal of Political Economy,2001
10.1086/321023,A Nash Equilibrium in Mixed Strategies,2001
10.1086/322083,Why Would Nature Give Individuals Utility Functions?,2001
10.1086/322084,Adverse Specialization,2001
10.1086/322085,War and Democracy,2001
10.1086/322086,"Micro Data, Heterogeneity, and the Evaluation of Public Policy: Nobel Lecture",2001
10.1086/322087,Walras Retrouvé: Decentralized Trading Mechanisms and the Competitive Price,2001
10.1086/322088,The Geography of Investment: Informed Trading and Asset Prices,2001
10.1086/322089,Human Capital versus Signaling Models: University Access and High School Dropouts,2001
10.1086/322828,Displaced Capital: A Study of Aerospace Plant Closings,2001
10.1086/322829,Home Production Meets Time to Build,2001
10.1086/322830,"Teachers, Growth, and Convergence",2001
10.1086/322831,Globalization and the Rate of Technological Progress: What Track and Field Records Show,2001
10.1086/322832,Least‐Present‐Value‐of‐Revenue Auctions and Highway Franchising,2001
10.1086/322833,"More Guns, More Crime",2001
10.1086/322834,"<i>Famous First Bubbles: The Fundamentals of Early Manias</i>. By Peter M.  Garber. Cambridge, Mass.: MIT Press, 2000. Pp. xi+163. $24.95 (cloth); $13.95 (paper).",2001
10.1086/322835,Pricing and Matching with Frictions,2001
10.1086/322836,Consequences of Employment Protection? The Case of the Americans with Disabilities Act,2001
10.1086/323271,Prospective Deficits and the Asian Currency Crisis,2001
10.1086/323272,"Durable Goods, Coasian Dynamics, and Uncertainty: Theory and Experiments",2001
10.1086/323275,Coalitional Power and Public Goods,2001
10.1086/323279,Estimating Real Income in the United States from 1888 to 1994: Correcting CPI Bias Using Engel Curves,2001
10.1086/323281,How Dangerous Are Drinking Drivers?,2001
10.1086/323282,Resurrecting the (C)CAPM: A Cross‐Sectional Test When Risk Premia Are Time‐Varying,2001
10.1086/323283,"<i>Warming the World: Economic Models of Global Warming</i>. By William D.  Nordhaus and Joseph  Boyer. Cambridge, Mass.: MIT Press, 2000. Pp. 232+xii. $35.00.",2001
10.1086/323620,Journal of Political Economy,2001
10.1086/323621,Mark Twain's Marginal Utility of Jodling,2001
10.1086/324385,"Marriage Market, Divorce Legislation, and Household Labor Supply",2002
10.1086/324386,Putting Out the Fires: Will Higher Taxes Reduce the Onset of Youth                         Smoking?,2002
10.1086/324387,The Role of Leasing under Adverse Selection,2002
10.1086/324388,"<i>Creative Industries: Contracts between Art and Commerce</i>. By Richard E.  Caves. Cambridge, Mass.: Harvard University Press, 2000. Pp. 454+ix. $45.00.",2002
10.1086/324389,"Money, Interest Rates, and Exchange Rates with Endogenously Segmented Markets",2002
10.1086/324390,A Theory of Prostitution,2002
10.1086/324391,Order Flow and Exchange Rate Dynamics,2002
10.1086/324392,The Effects of Seed Money and Refunds on Charitable Giving: Experimental Evidence from a University Capital Campaign,2002
10.1086/324393,Endogenous Policy Decentralization: Testing the Central Tenet of Economic Federalism,2002
10.1086/338090,Journal of Political Economy,2001
10.1086/338091,An Early Example of the “Winner's Curse” in an Auction,2001
10.1086/338742,A Theory of Inalienable Property Rights,2002
10.1086/338743,"The Demand for Money, Financial Innovation, and the Welfare Cost of Inflation: An Analysis with Household Data",2002
10.1086/338744,Empowerment and Efficiency: Tenancy Reform in West Bengal,2002
10.1086/338745,"Comment on “Rotten Kids, Purity, and Perfection”",2002
10.1086/338746,On Theories Explaining the Success of the Gravity Equation,2002
10.1086/338747,Getting Income Shares Right,2002
10.1086/338748,Bidder Behavior in Multiunit Auctions: Evidence from Swedish Treasury Auctions,2002
10.1086/338749,Market Microstructure and Incentives to Invest,2002
10.1086/338750,Altruistic and Joy‐of‐Giving Motivations in Charitable Behavior,2002
10.1086/339334,Journal of Political Economy,2002
10.1086/339335,The Bible Meets Science Fiction: A Solution to the Principal‐Agent Problem,2002
10.1086/339336,Journal of Political Economy,2002
10.1086/339337,Why Experimental Economics Never Caught On,2002
10.1086/339712,Endogenous Matching and the Empirical Determinants of Contract Form,2002
10.1086/339713,Avoiding Liquidity Traps,2002
10.1086/339714,Does the Internet Make Markets More Competitive? Evidence from the Life Insurance Industry,2002
10.1086/339717,"Information Aggregation, Security Design, and Currency Swaps",2002
10.1086/339721,An Economic Analysis of the Protestant Reformation,2002
10.1086/339724,Consumption and Aggregate Constraints: Evidence from U.S. States and                     Canadian Provinces,2002
10.1086/339729,Competing Premarital Investments,2002
10.1086/339744,The Political Economy of Employment Protection,2002
10.1086/339746,Is Lumpy Investment Relevant for the Business Cycle?,2002
10.1086/339747,Journal of Political Economy,2002
10.1086/339748,Back Cover Quote,2002
10.1086/341867,Political Intervention in Debt Contracts,2002
10.1086/341868,The Slowdown of the Economics Publishing Process,2002
10.1086/341871,Evolving Standards for Academic Publishing: A                         <i>q</i>‐<i>r</i> Theory,2002
10.1086/341872,A Model of the Federal Funds Rate Target,2002
10.1086/341873,The Rise of Mass Consumption Societies,2002
10.1086/341874,The Tenuous Trade‐off between Risk and Incentives,2002
10.1086/341875,Skill and the Value of Life,2002
10.1086/342804,Districting and Government Overspending,2002
10.1086/342805,Response,2002
10.1086/342806,Catching Up with the Joneses: Heterogeneous Preferences and the Dynamics of Asset Prices,2002
10.1086/342807,Employed 40 Hours or Not Employed 39: Lessons from the 1982 Mandatory Reduction of the Workweek,2002
10.1086/342808,The Impacts of Environmental Regulations on Industrial Activity: Evidence from the 1970 and 1977 Clean Air Act Amendments and the Census of Manufactures,2002
10.1086/342809,Comment on “The U.S. Structural Transformation and Regional Convergence: A Reinterpretation”,2002
10.1086/342810,Evaluating the Effect of Teachers’ Group Performance Incentives on Pupil Achievement,2002
10.1086/342811,Journal of Political Economy,2002
10.1086/342812,The Laffer Curve Strikes Again?,2002
10.1086/343744,Optimal Taxation without State‐Contingent Debt,2002
10.1086/343745,Turnover of Used Durables in a Stationary Equilibrium: Are Older Goods Traded More?,2002
10.1086/344194,Journal of Political Economy,2002
10.1086/344195,Galileo on the Diamond/Water Paradox,2002
10.1086/344800,An Equilibrium Conflict Model of Land Tenure in Hunter‐Gatherer Societies,2003
10.1086/344801,Inference with an Incomplete Model of English Auctions,2003
10.1086/344802,Are Regional Trading Partners “Natural”?,2003
