DOI,Title,Published Date
10.1093/qje/115.1.i,Announcement,2000
10.1093/qje/115.3.iii,Announcement of the Winners of the Griliches Prize in Empirical Economics,2000
10.1093/qje/120.2.424,The Gift of the Dying: The Tragedy of AIDS and the Welfare of Future African Generations,2005
10.1093/qje/120.2.467,"Sexually Transmitted Infections, Sexual Behavior, and the HIV/AIDS Epidemic",2005
10.1093/qje/120.2.517,The Shape of Production Functions and the Direction of Technical Change,2005
10.1093/qje/120.2.551,"An Economic Analysis of ""Acting White""",2005
10.1093/qje/120.2.585,A Model of Add-On Pricing,2005
10.1093/qje/120.2.639,Money Illusion in the Stock Market: The Modigliani-Cohn Hypothesis,2005
10.1093/qje/120.2.669,The More the Merrier? The Effect of Family Size and Birth Order on Children's Education,2005
10.1093/qje/120.2.701,Competition and Innovation: an Inverted-U Relationship,2005
10.1093/qje/120.2.729,Ownership and Control in Outsourcing to China: Estimating the Property-Rights Theory of the Firm,2005
10.1093/qje/120.2.763,Owner-Occupied Housing as a Hedge Against Rent Risk,2005
10.1093/qje/120.3.1003,Air Pollution and Infant Health: What Can We Learn from California's Recent Experience?,2005
10.1093/qje/120.3.1031,The Costs of Low Birth Weight,2005
10.1093/qje/120.3.1085,"Precautionary Savings and Self-Selection: Evidence from the German Reunification ""Experiment""",2005
10.1093/qje/120.3.1121,Do Liquidation Values Affect Financial Contracts? Evidence from Commercial Loan Contracts and Zoning Regulation,2005
10.1093/qje/120.3.1155,"Partisan Competition, Growth, and the Franchise",2005
10.1093/qje/120.3.791,Dividend Taxes and Corporate Behavior: Evidence from the 2003 Dividend Tax Cut,2005
10.1093/qje/120.3.835,Do Leaders Matter? National Leadership and Growth Since World War II,2005
10.1093/qje/120.3.865,International Trade and Macroeconomic Dynamics with Heterogeneous Firms,2005
10.1093/qje/120.3.917,Social Preferences and the Response to Incentives: Evidence from Personnel Data,2005
10.1093/qje/120.3.963,Neighbors as Negatives: Relative Earnings and Well-Being,2005
10.1093/qje/121.1.1,The Distortionary Effects of Government Procurement: Evidence from Medicaid Prescription Drug Purchasing,2006
10.1093/qje/121.1.121,Emotional Agency,2006
10.1093/qje/121.1.157,"Earnings Manipulation, Pension Assumptions, and Managerial Investment Decisions",2006
10.1093/qje/121.1.197,Do Ads Influence Editors? Advertising and Bias in the Financial Media,2006
10.1093/qje/121.1.229,A Theory of Financing Constraints and Firm Dynamics,2006
10.1093/qje/121.1.267,Bargaining in the Shadow of the Law: Divorce Laws and Family Distress,2006
10.1093/qje/121.1.289,More Power to the Pill: The Impact of Contraceptive Freedom on Women's Life Cycle Labor Supply,2006
10.1093/qje/121.1.31,Offshoring in a Knowledge Economy,2006
10.1093/qje/121.1.79,How Do Friendships Form?,2006
10.1093/qje/121.4.1133,A Model of Reference-Dependent Preferences,2006
10.1093/qje/121.4.1167,Politics and Efficiency of Separating Capital and Ordinary Government Budgets,2006
10.1093/qje/121.4.1211,"Did Iraq Cheat the United Nations? Underpricing, Bribes, and the Oil for Food Program",2006
10.1093/qje/121.4.1249,How Elections Matter: Theory and Evidence from Environmental Policy,2006
10.1093/qje/121.4.1283,The Uncertainty Effect: When a Risky Prospect is Valued Less than its Worst Possible Outcome,2006
