article.title,article.authors,article.published_date,article.volume,article.issue,article.page_first,article.page_last,article.citations,article.doi,reference.ref_type,reference.authors,reference.year,reference.title,reference.journal,reference.volume,reference.page_first,reference.page_last,reference.doi,reference.working_paper_institution,reference.book_title,reference.chapter_title
Hedging and Liquidity,Antonio S. Mello;John E. Parsons,2000-01-01,13,1,127,153,,10.1093/rfs/13.1.127,book,"['M. J. Brennan', 'N. I. Crew']",1995,,,,,,,,"“Hedging Long Maturity Commodity Commitments with Short-dated Futures Contracts,”",
Hedging and Liquidity,Antonio S. Mello;John E. Parsons,2000-01-01,13,1,127,153,,10.1093/rfs/13.1.127,article,"['C. Culp', 'M. Miller']",1995,"“Metallgesellschaft and the Economics of Synthetic Storage,”",Journal of Applied Corporate Finance,7,6,21,10.1111/jacf.1995.7.issue-4,,,
Hedging and Liquidity,Antonio S. Mello;John E. Parsons,2000-01-01,13,1,127,153,,10.1093/rfs/13.1.127,book,['A. Deep'],1996,,,,,,,,"“Optimal Dynamic Hedging Using Futures Under a Borrowing Constraint,”",
Hedging and Liquidity,Antonio S. Mello;John E. Parsons,2000-01-01,13,1,127,153,,10.1093/rfs/13.1.127,article,['W. Dolde'],1995,"“Hedging, Leverage and Primitive Risk,”",Journal of Financial Engineering,4,187,216,,,,
Hedging and Liquidity,Antonio S. Mello;John E. Parsons,2000-01-01,13,1,127,153,,10.1093/rfs/13.1.127,article,"['K. Froot', 'D. Scharfstein', 'J. Stein']",1993,"“Risk Management: Coordinating Corporate Investment and Financing Policies,”",Journal of Finance,48,1629,1658,10.1111/j.1540-6261.1993.tb05123.x,,,
Hedging and Liquidity,Antonio S. Mello;John E. Parsons,2000-01-01,13,1,127,153,,10.1093/rfs/13.1.127,article,"['S. Grossman', 'J.-L. Vila']",1992,"“Optimal Dynamic Trading with Leverage Constraints,”",Journal of Financial and Quantitative Analysis,27,151,168,10.2307/2331365,,,
Hedging and Liquidity,Antonio S. Mello;John E. Parsons,2000-01-01,13,1,127,153,,10.1093/rfs/13.1.127,book,['J. E. Hilliard'],1995,,,,,,,,"“Analytics Underlying the AG Metallgesellschaft Hedge: Short Term Forwards in a Multi-period Environment,”",
Hedging and Liquidity,Antonio S. Mello;John E. Parsons,2000-01-01,13,1,127,153,,10.1093/rfs/13.1.127,article,"['A. Mello', 'J. Parsons']",1995,"“Maturity Structure of a Hedge Matters: Lessons from the Metallgesellschaft Debacle,”",Journal of Applied Corporate Finance,8,106,120,10.1111/jacf.1995.8.issue-1,,,
Hedging and Liquidity,Antonio S. Mello;John E. Parsons,2000-01-01,13,1,127,153,,10.1093/rfs/13.1.127,article,"['A. Mello', 'J. Parsons']",1995,"“Rolling the Dice,”",RISK,8,49,50,,,,
Hedging and Liquidity,Antonio S. Mello;John E. Parsons,2000-01-01,13,1,127,153,,10.1093/rfs/13.1.127,article,['S. Mian'],1996,"“Evidence on Corporate Hedging Policy,”",Journal of Financial and Quantitative Analysis,31,419,439,10.2307/2331399,,,
Hedging and Liquidity,Antonio S. Mello;John E. Parsons,2000-01-01,13,1,127,153,,10.1093/rfs/13.1.127,article,"['V. Naik', 'R. Uppal']",1994,"“Leverage Constraints and the Optimal Hedging of Stock and Bond Options,”",Journal of Financial and Quantitative Analysis,29,199,222,10.2307/2331222,,,
Hedging and Liquidity,Antonio S. Mello;John E. Parsons,2000-01-01,13,1,127,153,,10.1093/rfs/13.1.127,article,"['D. Nance', 'C. Smith', 'C. Smithson']",1993,"“On the Determinants of Corporate Hedging,”",Journal of Finance,48,267,284,10.1111/j.1540-6261.1993.tb04709.x,,,
Hedging and Liquidity,Antonio S. Mello;John E. Parsons,2000-01-01,13,1,127,153,,10.1093/rfs/13.1.127,book,['A. Neuberger'],1995,,,,,,,,"“How Well Can You Hedge Long Term Exposures with Multiple Shortterm Futures Contracts?,”",
Hedging and Liquidity,Antonio S. Mello;John E. Parsons,2000-01-01,13,1,127,153,,10.1093/rfs/13.1.127,article,['S. A. Ross'],1997,"“Hedging Long Run Commitments: Exercises in Incomplete Market Pricing,”",Economic Notes,26,99,132,,,,
