DOI,Title,Published Date
10.1093/res/hhw106,Financing and New Product Decisions of Private and Publicly Traded Firms,
10.1093/restud/hhab106,The Equilibrium Consequences of Indexing,
10.1093/revfin/hhl046,Institutional Investors and Equity Returns: Are Short-term Institutions Better Informed?,2009
10.1093/revfin/hhl047,Can the Trade-off Theory Explain Debt Structure?,2007
10.1093/revfin/hhm001,Walrasian Tâtonnement Auctions on the Tokyo Grain Exchange,2007
10.1093/revfin/hhm002,Optimal Equity Stakes and Corporate Control,2007
10.1093/revfin/hhm003,Industry Information Diffusion and the Lead-lag Effect in Stock Returns,2007
10.1093/revfin/hhm004,A Theory of IPO Waves,2007
10.1093/revfin/hhm005,Monopoly and Information Advantage in the Residential Mortgage Market,2008
10.1093/revfin/hhm006,Governance Mechanisms and Bond Prices,2007
10.1093/revfin/hhm007,Bank Lines of Credit in Corporate Finance: An Empirical Analysis,2009
10.1093/revfin/hhm008,Asset Prices and Exchange Rates,2007
10.1093/revfin/hhm009,Information Diffusion Effects in Individual Investors' Common Stock Purchases: Covet Thy Neighbors' Investment Choices,2007
10.1093/revfin/hhm010,Analyst Hype in IPOs: Explaining the Popularity of Bookbuilding,2007
10.1093/revfin/hhm011,Equilibrium Underdiversification and the Preference for Skewness,2007
10.1093/revfin/hhm012,"Booms, Busts, and Fraud",2007
10.1093/revfin/hhm013,An Equilibrium Model of Investment Under Uncertainty,2007
10.1093/rfs/13.1.1,Asymmetric Volatility and Risk in Equity Markets,2000
10.1093/rfs/13.1.127,Hedging and Liquidity,2000
10.1093/rfs/13.1.155,How Do Firms Choose Their Lenders? An Empirical Investigation,2000
10.1093/rfs/13.1.191,Are There Economies of Scale in Underwriting Fees? Evidence of Rising External Financing Costs,2000
10.1093/rfs/13.1.219,Excess Funds and Agency Problems: An Empirical Study of Incremental Cash Disbursements,2000
10.1093/rfs/13.1.249,Financial Analysis and Corporate Strategy,2000
10.1093/rfs/13.1.253,Derivatives: A PowerPlus Picture Book,2000
10.1093/rfs/13.1.43,Valuation of Bankrupt Firms,2000
10.1093/rfs/13.1.75,Valuing American Put Options Using Gaussian Quadrature,2000
10.1093/rfs/13.1.95,A Theory of Bank Regulation and Management Compensation,2000
10.1093/rfs/13.2.257,"Trading Volume: Definitions, Data Analysis, and Implications of Portfolio Theory",2000
10.1093/rfs/13.2.301,The Significance of the Market Portfolio,2000
10.1093/rfs/13.2.331,The Design of Bank Loan Contracts,2000
10.1093/rfs/13.2.365,The Term Structure of Interest Rates as a Random Field,2000
10.1093/rfs/13.2.385,The Opportunity for Conspiracy in Asset Markets Organized with Dealer Intermediaries,2000
10.1093/rfs/13.2.417,On the Recoverability of Preferences and Beliefs,2000
10.1093/rfs/13.2.433,Recovering Risk Aversion from Option Prices and Realized Returns,2000
10.1093/rfs/13.2.453,Government Intervention and Adverse Selection Costs in Foreign Exchange Markets,2000
10.1093/rfs/13.3.479,Forcing Firms to Talk: Financial Disclosure Regulation and Externalities,2000
10.1093/rfs/13.3.521,Stock Market Risk and Return: An Equilibrium Approach,2000
10.1093/rfs/13.3.549,Do Call Prices and the Underlying Stock Always Move in the Same Direction?,2000
10.1093/rfs/13.3.585,A Closed-Form GARCH Option Valuation Model,2000
10.1093/rfs/13.3.627,Price Discovery in Auction Markets: A Look Inside the Black Box,2000
10.1093/rfs/13.3.659,"Prices, Liquidity, and the Information Content of Trades",2000
10.1093/rfs/13.3.697,IPOs and Long-Term Relationships: An Advantage of Book Building,2000
10.1093/rfs/13.3.715,Equilibrium Mispricing in a Capital Market with Portfolio Constraints,2000
10.1093/rfs/13.3.749,"Strategic Responses of Incumbents to New Entry: The Effect of Ownership Structure, Capital structure, and focus",2000
10.1093/rfs/13.3.781,"Bank Reputation, Bank Commitment, and the Effects of Competition in Credit Markets",2000
10.1093/rfs/13.3.813,Bankruptcy Priority for Bank Deposits: A Contract Theoretic Explanation,2000
10.1093/rfs/13.4.1017,The Private Placement of Debt and Outside Equity as an Information Revelation Mechanism,2000
10.1093/rfs/13.4.1057,"Debt Valuation, Renegotiation, and Optimal Dividend Policy",2000
10.1093/rfs/13.4.1101,"Client Discretion, Switching Costs, and Financial Innovation",2000
10.1093/rfs/13.4.1129,"Market Making, Prices, and Quantity Limits",2000
10.1093/rfs/13.4.1153,Active Portfolio Management: A Quantitative Approach to Providing Superior Returns and Controlling Risk,2000
10.1093/rfs/13.4.841,"Toeholds, Bid Jumps, and Expected Payoffs in Takeovers",2000
10.1093/rfs/13.4.883,Asset Pricing Models: Implications for Expected Returns and Portfolio Selection,2000
10.1093/rfs/13.4.917,Regulatory and Legal Pressures and the Costs of Nasdaq Trading,2000
10.1093/rfs/13.4.959,The Interaction between Product Market and Financing Strategy: The Role of Venture Capital,2000
10.1093/rfs/13.4.985,Strategic Debt Restructuring,2000
10.1093/rfs/14.1.1,Learning to Be Overconfident,2001
10.1093/rfs/14.1.113,Valuing American Options by Simulation: A Simple Least-Squares Approach,2001
10.1093/rfs/14.1.149,The Dynamics of the Forward Interest Rate Curve with Stochastic String Shocks,2001
10.1093/rfs/14.1.187,Equilibrium Positive Interest Rates: A Unified View,2001
10.1093/rfs/14.1.215,International Competition and Exchange Rate Shocks: A Cross-Country Industry Analysis of Stock Returns,2001
10.1093/rfs/14.1.243,The Use of Foreign Currency Derivatives and Firm Market Value,2001
10.1093/rfs/14.1.277,"Global Diversification, Growth, and Welfare with Imperfectly Integrated Markets for Goods",2001
10.1093/rfs/14.1.29,Understanding the Nature of the Risks and the Source of the Rewards to Momentum Investing,2001
10.1093/rfs/14.1.307,Book review. Financial Markets and Corporate Finance: Selected Papers of Michael J Brennan: Table 1,2001
10.1093/rfs/14.1.79,Are Insider Trades Informative?,2001
10.1093/rfs/14.2.313,The Risk in Hedge Fund Strategies: Theory and Evidence from Trend Followers,2001
10.1093/rfs/14.2.343,Efficient Trading Strategies in the Presence of Market Frictions,2001
10.1093/rfs/14.2.371,Value-at-Risk-Based Risk Management: Optimal Policies and Asset Prices,2001
10.1093/rfs/14.2.407,Optimal Portfolio Choice and the Valuation of Illiquid Securities,2001
10.1093/rfs/14.2.433,Underpricing and Entrepreneurial Wealth Losses in IPOs: Theory and Evidence,2001
10.1093/rfs/14.2.459,Technological Innovation and Initial Public Offerings,2001
10.1093/rfs/14.2.495,The Price of a Smile: Hedging and Spanning in Option Markets,2001
10.1093/rfs/14.2.529,Financial Constraints and Stock Returns,2001
10.1093/rfs/14.2.555,An Analysis of Default Correlations and Multiple Defaults,2001
10.1093/rfs/14.2.577,Book review. Comparing Financial Systems.,2001
10.1093/rfs/14.3.583,Optimal Consumption and Investment with Capital Gains Taxes,2001
10.1093/rfs/14.3.617,Cross-Border Investing with Tax Arbitrage: The Case of German Dividend Tax Credits,2001
10.1093/rfs/14.3.659,Familiarity Breeds Investment,2001
10.1093/rfs/14.3.681,An Examination of Changes in Specialists’ Posted Price Schedules,2001
10.1093/rfs/14.3.705,Adverse Selection and Competitive Market Making: Empirical Evidence from a Limit Order Market,2001
10.1093/rfs/14.3.735,The Endogeneity of Managerial Compensation in Firm Valuation: A Solution,2001
10.1093/rfs/14.3.765,The Impact of Debt Financing on Entry and Exit in a Duopoly,2001
10.1093/rfs/14.3.805,Exposure and Markups,2001
10.1093/rfs/14.3.837,The Determinants of Asymmetric Volatility,2001
10.1093/rfs/14.3.861,Expected Returns and Habit Persistence,2001
10.1093/rfs/14.3.901,Efficient Asset Management: A Practical Guide to Stock Portfolio Optimization and Asset Allocation.,2001
10.1093/rfs/14.4.1021,The Many Faces of Information Disclosure,2001
10.1093/rfs/14.4.1059,Bank Power and Cash Holdings: Evidence from Japan,2001
10.1093/rfs/14.4.1083,Disentangling the Dividend Information in Splits: A Decomposition Using Conditional Event-Study Methods,2001
10.1093/rfs/14.4.1117,Quantitative Asset Pricing Implications of Endogenous Solvency Constraints,2001
10.1093/rfs/14.4.1153,Price Impact Asymmetry of Block Trades: An Institutional Trading Explanation,2001
10.1093/rfs/14.4.1183,Rational Beliefs and Security Design,2001
10.1093/rfs/14.4.1215,How Does the Spirit of Capitalism Affect Stock Market Prices?,2001
10.1093/rfs/14.4.1233,Author Index,2001
10.1093/rfs/14.4.1237,Title Index,2001
10.1093/rfs/14.4.1241,Acknowledgments,2001
10.1093/rfs/14.4.905,Assessing Asset Pricing Anomalies,2001
10.1093/rfs/14.4.943,Ownership and Control of German Corporations,2001
10.1093/rfs/14.4.979,Information Flow and Pricing Errors: A Unified Approach to Estimation and Testing,2001
10.1093/rfs/15.1.1,Testing Trade-Off and Pecking Order Predictions About Dividends and Debt,2002
10.1093/rfs/15.1.143,Cross-Sectional and Time-Series Determinants of Momentum Returns,2002
10.1093/rfs/15.1.159,Does the Limit Order Routing Decision Matter?,2002
10.1093/rfs/15.1.195,Pricing Interest Rate Derivatives: A General Approach,2002
10.1093/rfs/15.1.243,Quadratic Term Structure Models: Theory and Evidence,2002
10.1093/rfs/15.1.289,Investor Activism and Financial Market Structure,2002
10.1093/rfs/15.1.319,An Empirical Analysis of Personal Bankruptcy and Delinquency,2002
10.1093/rfs/15.1.349,"Asset Pricing, John H. Cochrane. Princeton, NJ: Princeton University Press, 2001. 530 pp. ISBN 0-691-07498-4",2002
10.1093/rfs/15.1.35,When Are Real Options Exercised? An Empirical Study of Mine Closings,2002
10.1093/rfs/15.1.65,Persistence and Reversal in Herd Behavior: Theory and Application to the Decision to Go Public,2002
10.1093/rfs/15.1.97,The Investor Recognition Hypothesis in a Dynamic General Equilibrium: Theory and Evidence,2002
10.1093/rfs/15.2.353,Introduction to<i>Review of Financial Studies</i>Conference on Market Frictions and Behavioral Finance,2002
10.1093/rfs/15.2.363,Robustness and Pricing with Uncertain Growth,2002
10.1093/rfs/15.2.405,Discussion of “Robustness and Pricing with Uncertain Growth”,2002
10.1093/rfs/15.2.413,Why Don’t Issuers Get Upset About Leaving Money on the Table in IPOs?,2002
10.1093/rfs/15.2.445,Discussion of “Why Don’t Issuers Get Upset About Leaving Money on the Table in IPOs?”,2002
10.1093/rfs/15.2.455,Online Investors: Do the Slow Die First?,2002
10.1093/rfs/15.2.489,Underreaction to Self-Selected News Events: The Case of Stock Splits,2002
10.1093/rfs/15.2.527,Discussion of “Underreaction to Self-Selected News Events”,2002
10.1093/rfs/15.2.533,Momentum and Autocorrelation in Stock Returns,2002
10.1093/rfs/15.2.565,Discussion of “Momentum and Autocorrelation in Stock Returns”: Table 1,2002
10.1093/rfs/15.2.575,Competing Theories of Financial Anomalies,2002
10.1093/rfs/15.2.607,Discussion of “Competing Theories of Financial Anomalies”,2002
10.1093/rfs/15.2.615,"Sidelined Investors, Trading-Generated News, and Security Returns",2002
10.1093/rfs/15.2.649,"Discussion of “Sidelined Investors, Trading-Generated News, and Security Returns”",2002
10.1093/rfs/15.2.655,Partial Adjustment or Stale Prices? Implications from Stock Index and Futures Return Autocorrelations,2002
10.1093/rfs/15.3.691,Option Exercise Games: An Application to the Equilibrium Investment Strategies of Firms,2002
10.1093/rfs/15.3.723,The Effect of Leverage on Bidding Behavior: Theory and Evidence from the FCC Auctions,2002
10.1093/rfs/15.3.751,Macroeconomic Factors<i>Do</i>Influence Aggregate Stock Returns,2002
10.1093/rfs/15.3.783,Are the Fama and French Factors Global or Country Specific?,2002
10.1093/rfs/15.3.805,Optimal Portfolio Selection with Transaction Costs and Finite Horizons,2002
10.1093/rfs/15.3.837,Risk Arbitrage in Takeovers,2002
10.1093/rfs/15.3.869,Why New Issues and High-Accrual Firms Underperform: The Role of Analysts’ Credulity,2002
10.1093/rfs/15.3.901,"Competition, Adverse Selection, and Information Dispersion in the Banking Industry: Table 1",2002
10.1093/rfs/15.3.927,Financial Innovation and Information: The Role of Derivatives When a Market for Information Exists,2002
10.1093/rfs/15.3.959,Nondiscriminating Foreclosure and Voluntary Liquidating Costs,2002
10.1093/rfs/15.4.1005,Dynamic Volume-Return Relation of Individual Stocks,2002
10.1093/rfs/15.4.1049,The Informational Role of Stock and Option Volume,2002
10.1093/rfs/15.4.1077,Price Formation and Market Quality When the Number and Presence of Insiders Is Unknown,2002
10.1093/rfs/15.4.1111,Trading and Pricing in Upstairs and Downstairs Stock Markets,2002
10.1093/rfs/15.4.1137,International Asset Allocation With Regime Shifts,2002
10.1093/rfs/15.4.1189,An Isomorphism Between Asset Pricing Models With and Without Linear Habit Formation,2002
10.1093/rfs/15.4.1223,Stock Return Predictability: A Bayesian Model Selection Perspective,2002
10.1093/rfs/15.4.1251,Structuring International Cooperative Ventures,2002
10.1093/rfs/15.4.1283,How Firms Should Hedge,2002
10.1093/rfs/15.4.987,Incentive-Compatible Contracts for the Sale of Information: Table 1,2002
10.1093/rfs/15.5.1325,The Informational Efficiency of the Corporate Bond Market: An Intraday Analysis,2002
10.1093/rfs/15.5.1355,Corporate Bond Valuation and Hedging with Stochastic Interest Rates and Endogenous Bankruptcy,2002
10.1093/rfs/15.5.1385,The Long-Term Performance of Corporate Bonds (and Stocks) Following Seasoned Equity Offerings,2002
10.1093/rfs/15.5.1407,On Mutual Fund Investment Styles,2002
10.1093/rfs/15.5.1439,Mutual Fund Survivorship,2002
10.1093/rfs/15.5.1465,"Fee Speech: Signaling, Risk-Sharing, and the Impact of Fee Structures on Investor Welfare",2002
10.1093/rfs/15.5.1499,Demand Curves and the Pricing of Money Management,2002
