title,hash.html,doi,source
(Almost) Model-Free Recovery,52196923312d85bee85b142b89123d134052daaafff04abdc23797bc18723f3e.html,10.1111/jofi.12737,wiley
(Re-)Imag(in)ing Price Trends,aea67871eec7e41b548bc778342d068b148d1fbda39d0772edd84d46d3db9fb1.html,10.1111/jofi.13268,wiley
(Why) Do Central Banks Care about Their Profits?,2ef9d07f6697f8adbbff0951d7b10ea0e89f173b316df3a1f57f6ccbcd3adb07.html,10.1111/jofi.13257,wiley
100% MARGINS REVISITED,6dd592b76f8fa0e3070338f81d442f3138c9c1931e418f2eb31e76ea70bd4d1a.html,10.2307/2326449,jstor
100% MARGINS: COMBATING SPECULATION IN INDIVIDUAL SECURITY ISSUES,480bd87e42a6e56dde1b488c2a093deacae6191a378ae01c9e8366be5c19702c.html,10.1111/j.1540-6261.1973.tb01419.x,jstor
1975 MEETING OF EUROPEAN FINANCE ASSOCIATION CALL FOR PAPERS,NA,NA,NA
A Bayesian Analysis of Project Selection and of Post Audit Evaluations,d5770945ae0369915b64013a77161f5bdfe1e67b8aa46367b9194958aeef8662.html,10.2307/2327434,jstor
A Bayesian Approach to Real Options: The Case of Distinguishing between Temporary and Permanent Shocks,937f0f63d4c1597f65683d788d7de684bfe6be6bd7b4e57d27af46aa67e64f79.html,10.1111/j.1540-6261.2010.01599.x,wiley
A Bayesian Approach to the Optimal Growth Period Problem: A Note,432fa39e940d3dabbf479049b8756409f0aafdb966245909f0636ff3e07ad0d3.html,10.2307/2327651,jstor
A BAYESIAN MODEL FOR PORTFOLIO SELECTION AND REVISION,09061cd63a3395cd2a51e7de704ccf18220c71c305242119e1fc2571fb3de503.html,10.2307/2978440,jstor
A Bayesian's Bubble,1a231330f8a790ae08d7eb771aef04dcd6c9457f463f4b4c64bd8238c500e254.html,10.1111/j.1540-6261.2009.01514.x,wiley
A BEHAVIORAL APPROACH TO THE INVESTMENT-MANAGEMENT DECISION AND TO THE SECURITIES MARKETS*,NA,NA,NA
A BEHAVIORAL MODEL FOR COMMERCIAL BANKING*,NA,NA,NA
A BEHAVIORAL MODEL OF RISK IN CONSUMER CREDIT*,NA,NA,NA
A BEHAVIORAL THEORY APPROACH TO FIRM INVESTMENT AND ACQUISITION DECISIONS*,NA,NA,NA
A BENEFIT-COST MODEL FOR CREDIT DECISIONS*,NA,NA,NA
A BORROWER-ORIENTED MODEL OF U.S.-CANADIAN LONG-TERM FIXED-INTEREST CAPITAL FLOWS*,e717722f5c79b608837ae30a807b3d3d317ecd00855cac42edb27cb74894fe94.html,10.1111/j.1540-6261.1974.tb00048.x,wiley
A BRITISH TEST OF RECENT DEVELOPMENTS IN TERM STRUCTURE THEORY*,NA,NA,NA
A BUDGET STRUCTURED TO REFLECT ECONOMIC OBJECTIVES,NA,NA,NA
A Capital Budgeting Analysis of Life Insurance Costs in the United States: 1950–1979,e6bece0712a5570021c9181214f95ac1fb6cdae8f0a7141052b86382a64822cc.html,10.1111/j.1540-6261.1983.tb03632.x,wiley
A CASH-FLOW CONCEPT OF PROFIT*,NA,NA,NA
A Catastrophe Model of Bank Failure,73cfc64f1e13ba931f2c20fa1af11c6baaeb2397e8308515a0d14e76379df8dc.html,10.1111/j.1540-6261.1980.tb02203.x,wiley
A Catering Theory of Dividends,338ff9abe58db8a71ee44212913f44a0105b96ee06da6cd2472cf18e70ee1397.html,10.1111/j.1540-6261.2004.00658.x,wiley
A Characterization of the Daily and Intraday Behavior of Returns on Options,9157cde045dbeee6e61701cfeef7fa3a00a08c7c32ee5dab45e0629300491c6d.html,10.1111/j.1540-6261.1994.tb05152.x,wiley
A Comment on Bank Funding Risks,cfb01b260391ff00eb39792e0aae2a3203a12618a2874fbd37fd7d2f36afcf42.html,10.2307/2328760,jstor
A Comment on Excess Asset Reversions and Shareholder Wealth,68b0bfc5bbacd1da926b9402ab26d57f348ae09f4d4d84c36ea4bb29e94815d4.html,10.1111/j.1540-6261.1990.tb03739.x,wiley
A COMMENT ON FINANCING WITH CONVERTIBLE PREFERRED STOCK,NA,NA,NA
A COMMENT ON INVESTMENT DECISIONS,b6511ae05b93f42eea56670d2d1aed1f80071ee20c253864304a64d5d9af12ee.html,10.2307/2326951,jstor
A COMMENT ON THE CAPITAL STRUCTURE AND THE COST OF CAPITAL: A SUGGESTED EXPOSITION,,,
A COMMENT ON VARIABLE ANNUITIES,,,
A Comment on “Nonmember Banks and Empirical Measures of the Variability of Reserves and Money: A Theoretical Appraisal”,,,
A COMMENT ON “THE FEDERAL HOME LOAN BANK SYSTEM AND THE CONTROL OF CREDIT”,,,
A COMMUNICATION,,,
A COMPARATIVE ANALYSIS OF THE NET PRESENT VALUE AND THE BENEFIT-COST RATIO AS MEASURES OF THE ECONOMIC DESIRABILITY OF INVESTMENTS,,,
A COMPARATIVE STUDY IN DEBENTURE AND MORTGAGE BOND FINANCING*,,,
A COMPARATIVE STUDY OF BANK HOLDING COMPANY AFFILIATES AND INDEPENDENT BANKS, 1969–1972,,
A Comparative-Advantage Approach to Government Debt Maturity,,,
A Comparison of Alternative Models for Pricing GNMA Mortgage-Backed Securities,,,
A Comparison of Centralized and Fragmented Markets with Costly Search,,,
A Comparison of Forward and Futures Prices of an Interest Rate-Sensitive Financial Asset,,,
A Complete Analysis of Full Pareto Efficiency in Financial Markets for Arbitrary Preferences,,,
A COMPUTER SIMULATION USED TO EVALUATE ALTERNATIVE FINANCIAL STRATEGIES*,,,
A Consumption-Based Explanation of Expected Stock Returns,,,
A CONTRIBUTION TO THE THEORY OF CAPITAL BUDGETING—THE MULTI-INVESTMENT CASE*,,,
A CONTRIBUTION TO THE THEORY OF CAPITAL BUDGETING—THE MULTI-INVESTMENT CASE: A COMMENT,,,
A CORRECTION,,,
A CORRECTION TO “AN INTER-TEMPORAL APPROACH TO THE OPTIMIZATION OF DIVIDEND POLICY WITH PRE-DETERMINED INVESTMENTS,” BUCKNER A. WALLINGFORD, II,
A COST STUDY OF OHIO CREDIT UNIONS*,,,
A Crisis of Banks as Liquidity Providers,,,
A CRITICAL ANALYSIS OF THE EUROPEAN PAYMENTS UNION*,,,
A CRITICAL EVALUATION OF AVAILABLE CONSUMER CREDIT STATISTICS*,,,
A Critical Reexamination of the Empirical Evidence on the Arbitrage Pricing Theory,,,
A Critical Reexamination of the Empirical Evidence on the Arbitrage Pricing Theory: A Reply,,,
A CRITICAL STUDY OF SELECTED VIEWS ON PUBLIC EXPENDITURE IN THE CLASSICAL PERIOD*,,,
A Critique of the Stochastic Discount Factor Methodology,,,
A CROSS SECTION STUDY OF THE DEMAND FOR MONEY: THE UNITED STATES, 1960–62,,
A CROSS-SECTION STUDY OF BUSINESS DEMAND FOR CASH*,,,
A DECISION MODEL FOR INVENTORY MANAGEMENT*,,,
A DECISION MODEL FOR THE ALLOCATION OF FOREIGN FUNDS TO DIVIDEND REMITTANCES AND FOREIGN INVESTMENT IN A MULTINATIONAL CORPORATE SYSTEM WITH WHOLLY-OWNED FOREIGN MANUFACTURING SUBSIDIARIES,,,
A Defense of Traditional Hypotheses about the Term Structure of Interest Rates,,,
A DEMAND-FOR-MONEY FUNCTION FOR THE HOUSEHOLD SECTOR—SOME PRELIMINARY FINDINGS*,,,
A Direct Test of Roll's Conjecture on the Firm Size Effect,,,
A Discrete Time Option Model Dependent on Expected Return: A Note,,,
A DISCRIMINANT ANALYSIS OF ECONOMIC, DEMOGRAPHIC, AND ATTITUDINAL CHARACTERISTICS OF BANK CHARGE-CARD HOLDERS: A CASE STUDY,
A Disequilibrium Model of Savings and Loan Associations,,,
A Dynamic Equilibrium for the Ross Arbitrage Model,,,
A Dynamic Model of Characteristic-Based Return Predictability,,,
A Dynamic Model of Optimal Creditor Dispersion,,,
A DYNAMIC PROGRAMMING APPROACH TO THE VALUATION OF WARRANTS*,,,
A Dynamic Theory of the Banking Firm,,,
A FACTOR ANALYSIS APPROACH TO DETERMINING THE RELATIVE ENDOGENIETY OF TRADE CREDIT,,,
A FACTOR ANALYTIC APPROACH TO AN EMPIRICAL DEFINITION OF MONEY,,,
A FEDERAL DEPARTMENT OF FINANCE—A PROPOSAL*,,,
A Financial Early Warning System For Over-The-Counter Broker-Dealers,,,
A FINANCIAL FRAMEWORK FOR ECONOMIC GROWTH*,,,
A FINANCIAL SECTOR ANALYSIS OF THE EURODOLLAR MARKET,,,
A FINANCIAL SURVEY OF BRITISH HOUSING SINCE 1919,,,
A First Look at the Accuracy of the CRSP Mutual Fund Database and a Comparison of the CRSP and Morningstar Mutual Fund Databases,,,
A FRESH APPROACH TO THE PLACE OF CONSUMER CREDIT IN ECONOMIC AND FINANCIAL THINKING,,,
A Fundamental Study of the Seasonal Risk-Return Relationship: A Note,,,
A FURTHER ANALYSIS OF THE OBJECTIVES OF AMERICAN MONETARY POLICY,,,
A Further Empirical Investigation of the Bankruptcy Cost Question,,,
A Further Investigation of the Weekend Effect in Stock Returns,,,
A FURTHER NOTE ON BANK SUPERVISION AND MONETARY POLICY,,,
A FURTHER NOTE ON TIME DEPOSIT INTEREST RATES,,,
A Gap-Filling Theory of Corporate Debt Maturity Choice,,,
A GENERAL CLASS OF THREE-PARAMETER RISK MEASURES,,,
A GENERAL CLASS OF THREE-PARAMETER RISK MEASURES: COMMENT,,,
A General Diversification Theorem: A Note,,,
A General Equilibrium Model of International Portfolio Choice,,,
A General Equilibrium Money and Banking Paradigm,,,
A General Equilibrium Simulation Study of Subsidies to Municipal Expenditures,,,
A GENERAL EQUILIBRIUM THEORY OF ASSET PRICES, WITH APPLICATIONS TO THE THEORY OF THE TERM STRUCTURE OF INTEREST RATES,,
A GENERAL GRANT FOR THE STATES: A CONSIDERATION OF ITS OBJECTIVES, JUSTIFICATION, AND EFFECTS*,
A GENERAL SOLUTION TO THE BUY OR LEASE DECISION: A PEDAGOGICAL NOTE,,,
A GENERAL SOLUTION TO THE BUY OR LEASE DECISION: A PEDAGOGICAL NOTE: COMMENT,,,
A Generalization of the Brennan-Rubinstein Approach for the Pricing of Derivatives,,,
A Generalized Cash Flow Approach to Short-Term Financial Decisions,,,
A Generalized Econometric Model and Tests of a Signalling Hypothesis with Two Discrete Signals,,,
A GENERALIZED MODEL FOR CAPITAL INVESTMENT,,,
A GRAPHIC ANALYSIS OF THE THEORY OF THE DETERMINATION OF THE MONEY SUPPLY,,,
A Habit-Based Explanation of the Exchange Rate Risk Premium,,,
A HISTORY OF MONEY AND BANKING IN ARGENTINA*,,,
A Labor Capital Asset Pricing Model,,,
A LIMITED-DIVERSIFICATION PORTFOLIO SELECTION MODEL FOR THE SMALL INVESTOR,,,
A Lintner Model of Payout and Managerial Rents,,,
A LONG-TERM ECONOMETRIC MODEL OF THE CANADIAN ECONOMY WITH EMPHASIS ON THE FINANCIAL SECTOR: A SIMULATION STUDY OF SOME ALTERNATIVE POLICY RULES*,,,
A MACROECONOMIC MODEL OF HOUSEHOLD ASSET CHOICE*,,,
A Macrofinance View of U.S. Sovereign CDS Premiums,,,
A MAJOR ERROR IN REFUNDING,,,
A MARGINAL ANALYSIS OF THE BENEFIT-COST RELATIONSHIPS OF EXECUTIVE COMPENSATION PLANS*,,,
A MATHEMATICAL PROGRAMMING APPROACH TO PUBLIC WATER PROJECT PORTFOLIO SELECTION*,,,
A Mean-Variance Benchmark for Intertemporal Portfolio Theory,,,
A MEAN-VARIANCE SYNTHESIS OF CORPORATE FINANCIAL THEORY,,,
A Mean-Variance Synthesis of Corporate Financial Theory: A Note,,,
A MEAN-VARIANCE THEORY OF OPTIMAL CAPITAL STRUCTURE AND CORPORATE DEBT CAPACITY,,,
A MESSAGE FROM THE EDITOR,,,
A METHOD FOR CONSUMER VALUATION OF LIFE INSURANCE POLICIES BY TYPE,,,
A METHOD FOR CONSUMER VALUATION OF LIFE INSURANCE POLICIES BY TYPE: COMMENT,,,
A METHOD FOR CONSUMER VALUATION OF LIFE INSURANCE POLICIES BY TYPE: REPLY,,,
A Micro Model of the Federal Funds Market,,,
A MICRO-ECONOMETRIC INVESTIGATION OF MULTI-OBJECTIVE FIRMS,,,
A MICROECONOMIC APPROACH TO BANKING COMPETITION,,,
A MICROECONOMIC APPROACH TO BANKING COMPETITION: COMMENT,,,
A Microeconomic Model of Federal Home Loan Mortgage Corporation Activity,,,
A Model for the Determination of “Fair” Premiums on Lease Cancellation Insurance Policies,,,
A MODEL FOR THE INTEGRATION OF CREDIT AND INVENTORY MANAGEMENT,,,
A MODEL OF ASSET TRADING UNDER THE ASSUMPTION OF SEQUENTIAL INFORMATION ARRIVAL*,,,
A MODEL OF COMMERCIAL BANKING SYSTEM BEHAVIOR: AN ECONOMETRIC PREDICTIVE TEST*,,,
A MODEL OF CORPORATE FINANCING DECISIONS,,,
A Model of Dynamic Takeover Behavior,,,
A Model of Financialization of Commodities,,,
A MODEL OF INTERDEPENDENT CAPITAL BUDGETING AND FINANCING DECISIONS UNDER UNCERTAINTY*,,,
A Model of International Asset Pricing with a Constraint on the Foreign Equity Ownership,,,
A Model of Intertemporal Discount Rates in the Presence of Real and Inflationary Autocorrelations,,,
A Model of Monetary Policy and Risk Premia,,,
A Model of Mortgage Default,,,
A Model of Returns and Trading in Futures Markets,,,
A Model of Shadow Banking,,,
A MODEL OF STATE AND LOCAL GOVERNMENT PORTFOLIO AND REAL-EXPENDITURE BEHAVIOR: 1952–1965*,,,
A Model of Systemic Bank Runs,,,
A Model of the Commercial Loan Rate,,,
A Model of the Demand for Investment Banking Advising and Distribution Services for New Issues,,,
A MODEL OF THE DEMAND FOR MONEY BY HOUSEHOLDS,,,
A MODEL OF THE MARKET FOR LINES OF CREDIT,,,
A MODEL OF WARRANT PRICING IN A DYNAMIC MARKET,,,
A MONETARIST MODEL OF THE MONETARY PROCESS*,,,
A Monte Carlo Method for Optimal Portfolios,,,
A MORE CONSTRUCTIVE ROLE FOR DEPOSIT INSURANCE,,,
A MULTIDIMENSIONAL ANALYSIS OF INSTITUTIONAL INVESTOR PERCEPTION OF RISK*,,,
A Multinational Perspective on Capital Structure Choice and Internal Capital Markets,,,
A MULTIPERIOD ADJUSTMENT MODEL FOR THE FIRM'S CAPITAL STRUCTURE,,,
A Multiperiod Asset-Pricing Model with Unobservable Market Portfolio: A Note,,,
A Multiple Lender Approach to Understanding Supply and Search in the Equity Lending Market,,,
A Multiproduct Cost Study of Savings and Loans,,,
A MULTIVARIATE ANALYSIS OF INDUSTRIAL BOND RATINGS,,,
A Multivariate Linear Regression Test for the Arbitrage Pricing Theory,,,
A Multivariate Model of the Term Structure*,,,
A MULTIVARIATE STATISTICAL ANALYSIS OF THE CHARACTERISTICS OF PROBLEM BANKS,,,
A NEGATIVE VIEW OF THE NEGATIVE MONEY MULTIPLIER: COMMENT,,,
A NEGLECTED ASPECT OF FORWARD EXCHANGE THEORY AND POLICY*,,,
A NEGLECTED ISSUE IN CAPITAL RATIONING—THE ASSET DEMAND FOR MONEY,,,
A New Approach to International Arbitrage Pricing,,,
A NEW APPROACH TO RETIREMENT INCOME*,,,
